o,n
10.346575616438356,9.602554999999999
12.939280676328503,10.287705187150015
10.950303508771931,9.848469154228855
10.775313703703704,10.094067464114833
11.728320512820513,9.827986751532297
12.6227,10.35488320610687
11.058721363636364,10.193841980894923
12.347144444444444,12.093521946902655
11.69606645962733,10.225442857142857
12.71780059473237,11.60175465326115
11.34620989010989,10.493153355893966
12.32567213483146,10.282773232679554
12.21699677419355,10.878924691358025
12.490124742268042,10.981950822546974
11.366831910235359,10.032510118319053
11.153708756218906,10.38560561633844
11.488148987854252,9.660638116591928
9.847126923076924,9.590047892720307
12.060188050314466,10.277042807017544
11.774476859504134,10.6670302259887
11.440905405405406,10.49430695237107
12.51297962962963,9.759197674418605
11.537449253731344,10.624748065416833
12.675761728395061,10.618909903937222
10.818971428571428,10.191587214611872
11.208037894736842,10.376746616541354
11.38610930232558,10.805999496336996
12.409290196078432,10.250341728031419
11.8326875,11.209996851942941
11.338594205607476,9.404297425168973
11.545822522522524,10.227122658862877
12.36164126984127,10.404549262536875
13.963212101910829,11.564098335760349
11.667353535353534,9.672396350364965
12.185142857142857,10.763781108545034
12.949052380952383,10.656279837653836
12.442863567000478,10.853518305680694
12.158856213017753,10.63397791837123
11.086214285714286,10.179019688109161
12.01135641025641,10.720241080577551
12.844188311688312,10.168142503639011
12.655747469458987,11.575103775920768
10.615883333333333,9.830973194671653
9.869430833333334,10.401396862310815
10.915278571428571,9.596123993558777
12.074883988028432,10.733120573470604
11.160074236168457,10.453324812030075
11.311077195536146,10.644357158899496
13.187191304347827,10.389306730769231
12.693557142857143,11.200203142019273
