o,n,gold,students
58.67225342465756,51.501846153846174,63.47967741935486,90.13250000000001
51.07260869565218,59.01299366342474,63.317500000000024,85.01500000000003
58.42368421052632,59.56658582089554,66.15000000000003,101.98214285714286
54.09433333333334,55.387799043062216,66.40400000000001,85.16499999999999
40.66052884615385,57.68605610561056,66.15000000000003,80.68684210526318
53.759545454545474,56.74872614503818,66.40400000000001,76.72500000000002
52.45736363636365,52.1090045248869,11.611153846153869,65.16823529411766
58.09929429429434,48.94776991150445,15.114189189189233,86.08346153846156
49.261541149068336,54.347875000000016,7.09647058823532,77.81071428571428
53.46807561597282,59.262711394689376,38.11169811320758,89.89642857142859
46.57247252747257,51.92031584884381,7.767857142857153,76.83227272727274
50.93653932584272,58.76149428531116,7.411686746987968,84.8057142857143
39.85510752688174,50.71236111111111,8.0537804878049,89.51692307692309
42.2387757731959,57.04354989561591,75.70750000000002,89.865
42.24652983032297,46.47268053855572,60.70500000000001,84.17695652173914
57.21857462686569,53.6656952042305,69.78800000000001,90.05058823529413
67.5107287449393,58.31371112396937,69.78800000000001,84.45000000000003
71.0876153846154,56.28911877394637,66.36500000000001,81.85500000000002
54.28823899371071,51.8912105263158,68.2309090909091,89.865
45.01987603305787,46.35129943502827,38.762391304347844,83.0092307692308
53.490692567567606,60.93957455639722,66.36500000000001,112.08500000000001
37.52000000000004,55.03503750937736,56.6057142857143,111.07000000000002
45.88748134328361,45.36523135221381,61.665000000000006,100.00352941176472
51.48555555555557,57.088143688269525,72.72000000000003,96.05954545454546
56.97500000000002,60.44081763698634,61.890000000000015,103.00500000000001
50.48510526315792,51.51699248120303,63.47967741935486,102.53230769230771
47.2915697674419,46.609583333333376,56.6057142857143,102.53230769230771
43.27014705882357,59.21929553264607,47.45500000000003,95.42
60.69250000000002,49.55957452041321,65.96125000000002,113.10000000000002
64.14390654205609,64.46038944319282,43.93000000000001,102.53230769230771
48.03887387387388,57.30606605351173,14.953333333333362,75.50000000000003
60.657857142857154,62.12934365781712,67.0316666666667,63.69500000000001
45.73600716560512,57.44063137091743,9.923417721519016,95.02705882352943
60.50752525252528,55.65750456204381,66.36500000000001,71.81500000000001
57.82214285714289,52.5872707852194,69.22500000000004,84.45000000000003
54.99428571428572,50.67316967792616,63.47967741935486,78.81000000000003
39.67880782069628,51.6087375013735,34.45517241379312,109.04000000000002
41.22271079881656,59.48971077918373,9.923417721519016,95.165
51.44750000000002,61.75612781954887,7.767857142857153,95.93928571428573
53.90653846153849,51.483816953889175,66.5448275862069,86.70500000000001
41.397272727272735,59.82655203784572,63.47967741935486,85.16499999999999
52.717883944153584,56.74570643763545,72.07326923076926,84.45000000000003
55.1972916666667,58.61700338864222,66.36500000000001,71.76785714285715
91.341,70.82485465116281,79.93666666666668,89.24500000000003
55.00839285714287,54.73414653784221,60.363333333333344,80.46500000000002
50.37569023569026,56.47378031140987,46.11891304347827,90.05058823529413
48.737283236994216,50.48885103383461,7.767857142857153,88.905
43.21063561377974,56.78873245367771,-6.47499999999998,85.16499999999999
38.6584782608696,49.66278846153847,58.42368421052632,95.68818181818183
49.44890243902441,55.81826979472143,69.78800000000001,58.42368421052632
